Title,ID
56. Shanti Gita - Class 56 - Verse 30,pFMGirN9pXg&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=36
57. Shanti Gita - Class 57 - Verse 30,JBcjJR5mngc&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=35
58. Shanti Gita - Class 58 - Verse,eYxwYfZXdC8&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=34
59. Shanti Gita - Class 59 - chapter 6 - verse 1,w2uU4qmucKs&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=33
60. Shanti Gita - Class 60 - chapter 6 - verse 4,f41wrUcFJGs&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=32
61. Shanti Gita - Class 61 - chapter 6 - verse 6,tJBEgV4iMTA&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=31
62. Shanti Gita - Class 62 - chapter 6 - verse 9,drYsAdDcu7w&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=30
63. Shanti Gita - Class 63 - chapter 6 - verse 12,n7H3_0K5GA&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=29
64. Shanti Gita - Class 64 - chapter 6 - verse 14,fLN9AhLjwTQ&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=28
65. Shanti Gita - Class 65 - chapter 6 - verse 17 - 30,iX3Wj4kfNWI&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=27
66. Shanti Gita - Class 66 - chapter 6 - verse 21 - 23,WI0TdU73nxc&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=26
67. Shanti Gita - Class 67 - chapter 6 - verse 24,YeUEzaZiPxM&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=25
68. Shanti Gita - Class 68 - chapter 6 - verse 28,XVOzTKsYRnE&list=PLBh-iYJ1Q_hQqhTNNuKJP4WNaieZDeJmU&index=24
